list_name,name,label,region
choices_name_primary_cooperative,Megesat,Megesat,1
choices_name_primary_cooperative,Firey,Firey,1
choices_name_primary_cooperative,Admas,Admas,1
choices_name_primary_cooperative,ሃ/ሰላም,ሃ/ሰላም,1
choices_name_primary_cooperative,Tesfa Hiwet,Tesfa Hiwet,1
choices_name_primary_cooperative,Mearnet,Mearnet,1
choices_name_primary_cooperative,Limat Mariam Meko,Limat Mariam Meko,1
choices_name_primary_cooperative,Lemlem Cheli,Lemlem Cheli,1
choices_name_primary_cooperative,Lekatit 11,Lekatit 11,1
choices_name_primary_cooperative,Lemlem Tashi,Lemlem Tashi,1
choices_name_primary_cooperative,Lemlem May Tekli,Lemlem May Tekli,1
choices_name_primary_cooperative,Fire Zemen,Fire Zemen,1
choices_name_primary_cooperative,Lemlem Keyh Emba,Lemlem Keyh Emba,1
choices_name_primary_cooperative,Lemlem Kecherwa,Lemlem Kecherwa,1
choices_name_primary_cooperative,Samrawit,Samrawit,1
choices_name_primary_cooperative,Lemlem Fithawit,Lemlem Fithawit,1
choices_name_primary_cooperative,Selam Weyn,Selam Weyn,1
choices_name_primary_cooperative,Zemenawit,Zemenawit,1
choices_name_primary_cooperative,Fire Marta,Fire Marta,1
choices_name_primary_cooperative,Ruba Maleba,Ruba Maleba,1
choices_name_primary_cooperative,Finote Birhan,Finote Birhan,1
choices_name_primary_cooperative,Lewti,Lewti,1
choices_name_primary_cooperative,Zila Nikdmit,Zila Nikdmit,1
choices_name_primary_cooperative,Zemen,Zemen,1
choices_name_primary_cooperative,Gormodo,Gormodo,1
choices_name_primary_cooperative,Fire Agazi,Fire Agazi,1
choices_name_primary_cooperative,Welegesa,Welegesa,1
choices_name_primary_cooperative,Siye,Siye,1
choices_name_primary_cooperative,Tsibake Geblen,Tsibake Geblen,1
choices_name_primary_cooperative,Dayma,Dayma,1
choices_name_primary_cooperative,Raie Siweat,Raie Siweat,1
choices_name_primary_cooperative,Chearo,Chearo,1
choices_name_primary_cooperative,Lmiat Mama,Lmiat Mama,1
choices_name_primary_cooperative,Shewti Bet Mera,Shewti Bet Mera,1
choices_name_primary_cooperative,Shewit Beleso,Shewit Beleso,1
choices_name_primary_cooperative,Alem Tsehay,Alem Tsehay,1
choices_name_primary_cooperative,Tsaidat Hamlo,Tsaidat Hamlo,1
choices_name_primary_cooperative,Sasun,Sasun,1
choices_name_primary_cooperative,Millenium,Millenium,1
choices_name_primary_cooperative,Tsigereda,Tsigereda,1
choices_name_primary_cooperative,Kidist Mariam,Kidist Mariam,1
choices_name_primary_cooperative,ዕምበባ,ዕምበባ,1
choices_name_primary_cooperative,Ebyet,Ebyet,1
choices_name_primary_cooperative,Tsehay Mibrak,Tsehay Mibrak,1
choices_name_primary_cooperative,May Gobo,May Gobo,1
choices_name_primary_cooperative,Emnet,Emnet,1
choices_name_primary_cooperative,Merkeb,Merkeb,1
choices_name_primary_cooperative,Samra,Samra,1
choices_name_primary_cooperative,Sur Millinium,Sur Millinium,1
choices_name_primary_cooperative,Merhawit,Merhawit,1
choices_name_primary_cooperative,Mehari Tsegay,Mehari Tsegay,1
choices_name_primary_cooperative,Fire Weyane,Fire Weyane,1
choices_name_primary_cooperative,Gesgesti,Gesgesti,1
choices_name_primary_cooperative,Rae Hadinet,Rae Hadinet,1
choices_name_primary_cooperative,Lemlem Kihen,Lemlem Kihen,1
choices_name_primary_cooperative,Birki,Birki,1
choices_name_primary_cooperative,Debre Birhan,Debre Birhan,1
choices_name_primary_cooperative,Dilet,Dilet,1
choices_name_primary_cooperative,Keste Demena,Keste Demena,1
choices_name_primary_cooperative,Debre Tsion,Debre Tsion,1
choices_name_primary_cooperative,Ezana Sayzana,Ezana Sayzana,1
choices_name_primary_cooperative,Negash,Negash,1
choices_name_primary_cooperative,Zaina,Zaina,1
choices_name_primary_cooperative,Genfel,Genfel,1
choices_name_primary_cooperative,Gulen,Gulen,1
choices_name_primary_cooperative,Debre Mihret,Debre Mihret,1
choices_name_primary_cooperative,Raei Meles,Raei Meles,1
choices_name_primary_cooperative,Maibino,Maibino,1
choices_name_primary_cooperative,Firyat,Firyat,1
choices_name_primary_cooperative,Jira,Jira,1
choices_name_primary_cooperative,Baiker,Baiker,1
choices_name_primary_cooperative,Rawyan,Rawyan,1
choices_name_primary_cooperative,Hawzen,Hawzen,1
choices_name_primary_cooperative,Berekt,Berekt,1
choices_name_primary_cooperative,Abeba,Abeba,1
choices_name_primary_cooperative,Adebay,Adebay,1
choices_name_primary_cooperative,Abnte,Abnte,1
choices_name_primary_cooperative,Zufan,Zufan,1
choices_name_primary_cooperative,May Abato,May Abato,1
choices_name_primary_cooperative,Welkayt,Welkayt,1
choices_name_primary_cooperative,Aba Wusha,Aba Wusha,1
choices_name_primary_cooperative,Segomi,Segomi,1
choices_name_primary_cooperative,ባ/ቱ/ዓለም,ባ/ቱ/ዓለም,1
choices_name_primary_cooperative,Ebyet Bihbret,Ebyet Bihbret,1
choices_name_primary_cooperative,Tibe,Tibe,1
choices_name_primary_cooperative,ላ/ማርያም,ላ/ማርያም,1
choices_name_primary_cooperative,Mikre SENAY,Mikre SENAY,1
choices_name_primary_cooperative,ላ/አደባባይ,ላ/አደባባይ,1
choices_name_primary_cooperative,ሃ/ትሁን ደራ,ሃ/ትሁን ደራ,1
choices_name_primary_cooperative,Hiwet Cheguarkudo,Hiwet Cheguarkudo,1
choices_name_primary_cooperative,Anbesat,Anbesat,1
choices_name_primary_cooperative,Sur,Sur,1
choices_name_primary_cooperative,Walia,Walia,1
choices_name_primary_cooperative,Bahre Selam,Bahre Selam,1
choices_name_primary_cooperative,Alula Abanega,Alula Abanega,1
choices_name_primary_cooperative,Mekeza,Mekeza,1
choices_name_primary_cooperative,Amora,Amora,1
choices_name_primary_cooperative,Yizezew,Yizezew,1
choices_name_primary_cooperative,ካ/ኣለሙ/,ካ/ኣለሙ/,1
choices_name_primary_cooperative,Kalkidan,Kalkidan,1
choices_name_primary_cooperative,Kembat,Kembat,1
choices_name_primary_cooperative,John Umer,John Umer,1
choices_name_primary_cooperative,Adi Bidra,Adi Bidra,1
choices_name_primary_cooperative,Mash Horda,Mash Horda,1
choices_name_primary_cooperative,Hawelti Wrgiba,Hawelti Wrgiba,1
choices_name_primary_cooperative,Lemlem Burka,Lemlem Burka,1
choices_name_primary_cooperative,Ambibi Hawelti,Ambibi Hawelti,1
choices_name_primary_cooperative,Hadis Kigni,Hadis Kigni,1
choices_name_primary_cooperative,Tazma,Tazma,1
choices_name_primary_cooperative,Arhib,Arhib,1
choices_name_primary_cooperative,Sesen,Sesen,1
choices_name_primary_cooperative,Tiblets,Tiblets,1
choices_name_primary_cooperative,Zehiwet,Zehiwet,1
choices_name_primary_cooperative,Alem Birhan,Alem Birhan,1
choices_name_primary_cooperative,Tinkish,Tinkish,1
choices_name_primary_cooperative,Johan,Johan,1
choices_name_primary_cooperative,Lemlem Raya,Lemlem Raya,1
choices_name_primary_cooperative,Hadush Birhan,Hadush Birhan,1
choices_name_primary_cooperative,ገ/ጥርቐ,ገ/ጥርቐ,1
choices_name_primary_cooperative,Hadush Tesfa,Hadush Tesfa,1
choices_name_primary_cooperative,Limat Harle,Limat Harle,1
choices_name_primary_cooperative,Kulugize Lemlem,Kulugize Lemlem,1
choices_name_primary_cooperative,Fikur Welda,Fikur Welda,1
choices_name_primary_cooperative,Hashenga,Hashenga,1
choices_name_primary_cooperative,Ado,Ado,1
choices_name_primary_cooperative,Awshera,Awshera,1
choices_name_primary_cooperative,Belay Abera,Belay Abera,1
choices_name_primary_cooperative,Tsehay Birhan,Tsehay Birhan,1
choices_name_primary_cooperative,Felege Hiwet,Felege Hiwet,1
choices_name_primary_cooperative,Zata Hiwet,Zata Hiwet,1
choices_name_primary_cooperative,Shayna,Shayna,1
choices_name_primary_cooperative,Dara Mariam,Dara Mariam,1
choices_name_primary_cooperative,Birhan Sofya,Birhan Sofya,1
choices_name_primary_cooperative,Addis Zemen,Addis Zemen,1
choices_name_primary_cooperative,Birhan Sesela,Birhan Sesela,1
choices_name_primary_cooperative,Made Jima,Made Jima,1
choices_name_primary_cooperative,Shewit Gelewisa,Shewit Gelewisa,1
choices_name_primary_cooperative,Birhan Tsibet,Birhan Tsibet,1
choices_name_primary_cooperative,Gereb Aynu,Gereb Aynu,1
choices_name_primary_cooperative,Embeba Haya,Embeba Haya,1
choices_name_primary_cooperative,Lemlem Sala,Lemlem Sala,1
choices_name_primary_cooperative,Meserete Birhan,Meserete Birhan,1
choices_name_primary_cooperative,Gedam,Gedam,1
choices_name_primary_cooperative,Haftamnesh,Haftamnesh,1
choices_name_primary_cooperative,Riese Gebar,Riese Gebar,1
choices_name_primary_cooperative,Felamite Senay,Felamite Senay,1
choices_name_primary_cooperative,Birhan Alem,Birhan Alem,1
choices_name_primary_cooperative,Meda Berba,Meda Berba,1
choices_name_primary_cooperative,Tekli Bebeziwa,Tekli Bebeziwa,1
choices_name_primary_cooperative,Shimerwa,Shimerwa,1
choices_name_primary_cooperative,Fire Deddebit,Fire Deddebit,1
choices_name_primary_cooperative,Lemlem Tekia,Lemlem Tekia,1
choices_name_primary_cooperative,Fire Alaje,Fire Alaje,1
choices_name_primary_cooperative,Zwul Ayba,Zwul Ayba,1
choices_name_primary_cooperative,Dashen SESAT,Dashen SESAT,1
choices_name_primary_cooperative,Selam Seret,Selam Seret,1
choices_name_primary_cooperative,Sindu Abreha,Sindu Abreha,1
choices_name_primary_cooperative,Fire Hiwehat,Fire Hiwehat,1
