list_name,name,label,region,zone,woreda
choices_kebele,20105888008,Deyluna Geraro,2,201,20105
choices_kebele,20105888009,Gerarona Aneakelo,2,201,20105
choices_kebele,20105888010,Asmehamedkudi Na Keaylu,2,201,20105
choices_kebele,20105888011,Adaytu Ena Ledi,2,201,20105
choices_kebele,20105888012,Derebnuna Meguda,2,201,20105
choices_kebele,20105888013,Fayaburina Manat,2,201,20105
choices_kebele,20105888014,Adaytu,2,201,20105
choices_kebele,20106888001,Garanaena Kuntela,2,201,20106
choices_kebele,20106888002,Afuma Ena Tibedeha,2,201,20106
choices_kebele,20106888003,Meroli Ena Asregid,2,201,20106
choices_kebele,20106888004,Mesgido,2,201,20106
choices_kebele,20106888005,Askoma,2,201,20106
choices_kebele,20106888006,Gerirona Wekelo,2,201,20106
choices_kebele,20106888007,Teaboji Ena Habetlole,2,201,20106
choices_kebele,20106888008,Tegirty,2,201,20106
choices_kebele,20106888009,Yealo,2,201,20106
choices_kebele,20106888010,Adar Ena Alsia,2,201,20106
choices_kebele,20106888011,Guraala,2,201,20106
choices_kebele,20106888012,Dirgira,2,201,20106
choices_kebele,20106888013,Wanabana Robla,2,201,20106
choices_kebele,20106888014,Meglala,2,201,20106
choices_kebele,20106888015,Anderkelo,2,201,20106
choices_kebele,20106888016,Weama Ena Ader Kelo,2,201,20106
choices_kebele,20106888017,Semsem,2,201,20106
choices_kebele,20106888018,Amuli,2,201,20106
choices_kebele,20107888001,Aguhi,2,201,20107
choices_kebele,20107888002,Teasuli,2,201,20107
choices_kebele,20107888003,Guyah,2,201,20107
choices_kebele,20107888004,Guluble,2,201,20107
choices_kebele,20107888005,Dabesima,2,201,20107
choices_kebele,20107888006,Kori,2,201,20107
choices_kebele,20107888007,edile/korina,2,201,20107
choices_kebele,20107888008,Tendawo ena hasabuye,2,201,20107
choices_kebele,20107888009,Abudeli,2,201,20107
choices_kebele,20107888010,Adeali,2,201,20107
choices_kebele,20107888011,Daba,2,201,20107
choices_kebele,20107888012,Lubekda,2,201,20107
choices_kebele,20107888013,Okoreye,2,201,20107
choices_kebele,20107888014,Musle,2,201,20107
choices_kebele,20107888015,Asa,2,201,20107
